Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
-0.55169,0.092474,0.050722,-3.8783,1.4964,1.4964,3,-10087,-0.11072,9.7001,-6.0131,0.61567,0.61567,-5.7081,1.4972,1.4972,-3.8783,1.4964,1.4964,-0.53452,0.34489,0.34489
-0.5911,0.092668,0.049637,-3.5646,1.6479,1.6479,3,-10012,0.17383,9.962,-5.9722,0.67345,0.67345,-5.4552,1.5854,1.5854,-3.5646,1.6479,1.6479,-0.29285,0.31478,0.31478
-0.6305,0.092857,0.049673,-3.3086,1.7442,1.7442,3,-9953.3,0.5528,10.084,-6.0841,0.73315,0.73315,-5.1466,1.6868,1.6868,-3.3086,1.7442,1.7442,-0.22056,0.36247,0.36247
-0.66991,0.093037,0.048978,-3.2243,1.7863,1.7863,3,-9945.1,0.86952,10.252,-6.4192,0.70984,0.70984,-5.0004,1.8698,1.8698,-3.2243,1.7863,1.7863,-0.35035,12.261,12.261
-0.70932,0.093186,0.048086,-2.9398,1.8018,1.8018,3,-9874,1.2883,10.604,-6.7665,0.65579,0.65579,-4.636,2.1491,2.1491,-2.9398,1.8018,1.8018,-0.30587,13.782,13.782
-0.74872,0.093318,0.047015,-2.6243,2.018,2.018,3,-9791.8,1.9832,11.245,-7.3449,0.82242,0.82242,-4.2566,2.2847,2.2847,-2.6243,2.018,2.018,-0.24205,19.475,19.475
-0.78813,0.093431,0.0458,-2.3579,2.1038,2.1038,3,-9722.7,2.9195,12.284,-8.2518,1.0549,1.0549,-4.0373,2.4924,2.4924,-2.3579,2.1038,2.1038,-0.22108,2.42,2.42
-0.82754,0.093536,0.043807,-2.094,2.1204,2.1204,3,-9653.7,4.3465,13.873,-9.3806,1.2811,1.2811,-3.8534,2.7952,2.7952,-2.094,2.1204,2.1204,-0.014288,2.6704,2.6704
-0.86694,0.093645,0.040549,-1.7533,2.2734,2.2734,3,-9561.8,6.3317,16.701,-10.717,1.8717,1.8717,-3.8289,3.1094,3.1094,-1.7533,2.2734,2.2734,0.87761,3.4843,3.4843
-0.90635,0.093743,0.034887,-1.3528,2.3083,2.3083,3,-9451,9.8711,22.01,-11.948,2.8674,2.8674,-4.2243,3.7605,3.7605,-1.3528,2.3083,2.3083,3.2417,5.2486,5.2486
-0.94576,0.093911,0.029373,-1.37,1.9049,1.9049,3,-9472.5,15.104,30.385,-12.38,4.3409,4.3409,-5.2301,4.4292,4.4292,-1.37,1.9049,1.9049,7.8597,9.0675,9.0675
-0.98516,0.094285,0.02043,-1.9139,1.5735,1.5735,3,-9672,23.07,43.941,-11.04,5.9495,5.9495,-7.2735,5.1742,5.1742,-1.9139,1.5735,1.5735,16.368,101.85,101.85
-1.0246,0.095209,0.011528,-3.9517,0.97387,0.97387,3,-10373,30.561,64.357,-7.7014,6.4194,6.4194,-11.108,5.8189,5.8189,-3.9517,0.97387,0.97387,29.366,4.6566,4.6566
-1.064,0.097559,0.0041809,-6.9956,1.9642,1.9642,3,-11515,32.906,84.591,-4.1595,4.3163,4.3163,-16.077,4.8702,4.8702,-6.9956,1.9642,1.9642,40.54,2.6573,2.6573
