Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
1.6671,0.088337,0.18479,-2.5435,0.58028,0.58028,3,-9287.4,-8.0476,13.458,-0.2613,0.36437,0.36437,-0.13654,2.4167,2.4167,-2.5435,0.58028,0.58028,-0.83025,0.78417,0.78417
1.7059,0.08828,0.18741,-2.8582,0.67744,0.67744,3,-9376.5,-8.6016,13.632,-0.60578,0.46234,0.46234,-0.43859,2.3141,2.3141,-2.8582,0.67744,0.67744,-1.1419,0.68535,0.68535
1.7447,0.088221,0.19566,-3.1631,0.69304,0.69304,3,-9462.4,-8.9891,14.132,-0.90771,0.34222,0.34222,-0.60027,2.4588,2.4588,-3.1631,0.69304,0.69304,-1.3489,0.81997,0.81997
1.7835,0.08815,0.19777,-3.3026,0.84482,0.84482,3,-9497.3,-9.2339,14.297,-1.0301,0.46379,0.46379,-0.7052,2.3663,2.3663,-3.3026,0.84482,0.84482,-1.4625,0.70932,0.70932
1.8222,0.088062,0.19993,-3.5322,0.74236,0.74236,3,-9557.7,-9.5471,14.468,-1.3319,0.36745,0.36745,-0.91148,2.4443,2.4443,-3.5322,0.74236,0.74236,-1.6889,0.80031,0.80031
1.861,0.087962,0.20629,-3.8326,0.84788,0.84788,3,-9638.1,-9.6517,14.724,-1.6549,0.34182,0.34182,-1.1462,2.4606,2.4606,-3.8326,0.84788,0.84788,-1.9381,0.82128,0.82128
1.8998,0.087841,0.21042,-3.9423,0.92769,0.92769,3,-9659.4,-9.8149,14.986,-1.8309,0.40058,0.40058,-1.1617,2.3809,2.3809,-3.9423,0.92769,0.92769,-1.9985,0.76062,0.76062
1.9385,0.087701,0.21313,-4.0493,0.92979,0.92979,3,-9678,-10.064,15.179,-2.0572,0.4035,0.4035,-1.2366,2.3369,2.3369,-4.0493,0.92979,0.92979,-2.1001,0.74255,0.74255
1.9773,0.087534,0.21829,-4.2905,0.9497,0.9497,3,-9734.3,-10.324,15.423,-2.4186,0.3666,0.3666,-1.4251,2.3102,2.3102,-4.2905,0.9497,0.9497,-2.3157,0.75474,0.75474
2.0161,0.087343,0.09151,-2.7425,0.93696,0.43015,1,-9250.9,-10.781,15.862,-2.7425,0.43015,0.43015,-1.5422,2.1872,2.1872,-4.5127,1.0954,1.0954,-2.474,0.66845,0.66845
2.0549,0.087102,0.0913,-3.0667,0.39184,0.39184,1,-9325.1,-10.873,16.048,-3.0667,0.39184,0.39184,-1.6945,2.1286,2.1286,-4.6764,1.0694,1.0694,-2.643,0.66529,0.66529
2.0936,0.086806,0.091046,-3.5807,0.32319,0.32319,1,-9450.9,-11.243,16.425,-3.5807,0.32319,0.32319,-1.993,2.1054,2.1054,-4.9661,0.9769,0.9769,-2.9596,0.69161,0.69161
2.1324,0.086428,0.23622,-5.097,0.85127,0.85127,3,-9869.6,-11.503,16.98,-3.9349,0.20104,0.20104,-2.1032,2.1368,2.1368,-5.097,0.85127,0.85127,-3.0953,0.76984,0.76984
2.1712,0.085929,0.2422,-5.3373,0.82527,0.82527,3,-9893.9,-12.184,17.54,-4.4407,0.1959,0.1959,-2.3318,1.9975,1.9975,-5.3373,0.82527,0.82527,-3.3511,0.70301,0.70301
2.2099,0.08525,0.25198,-5.4923,0.80037,0.80037,3,-9874.6,-12.499,18.427,-4.9136,0.16322,0.16322,-2.4705,1.8906,1.8906,-5.4923,0.80037,0.80037,-3.5165,0.65878,0.65878
2.2487,0.084271,0.27717,-6.1171,0.86561,0.86561,3,-9967.9,-13.679,19.525,-5.8181,0.056617,0.056617,-3.0029,1.8049,1.8049,-6.1171,0.86561,0.86561,-4.0634,0.65546,0.65546
2.2875,0.082768,0.30937,-7.0302,0.76969,0.76969,3,-10097,-15.001,21.629,-7.1585,0.17384,0.17384,-3.785,1.7837,1.7837,-7.0302,0.76969,0.76969,-4.8922,0.71754,0.71754
2.3262,0.08014,0.35368,-8.4068,0.69039,0.98956,3,-10257,-17.005,23.355,-8.9782,0.41815,0.41815,-5.1175,1.679,1.679,-8.4068,0.69039,0.69039,-6.2305,0.72679,0.72679
2.365,0.074831,0.32217,-10.444,0.45249,0.45249,3,-10356,-19.681,23.591,-11.683,0.29337,0.29337,-7.7009,1.3657,1.3657,-10.444,0.45249,0.45249,-8.7584,0.48735,0.48735
2.4038,0.062992,0.23331,-11.952,1.5173,0.06949,3,-9666.5,-20.111,20.776,-13.452,0.27521,0.27521,-9.9453,1.2529,1.2529,-11.952,0.06949,0.06949,-10.895,0.46024,0.46024
2.4426,0.038575,0.85159,-7.1654,0.54093,0.54093,3,-5874.1,-15.494,23.269,-8.3384,0.78422,0.78422,-4.2906,1.2702,1.2702,-7.1654,0.54093,0.54093,-5.2132,0.61226,0.61226
